country_name,year,country_code,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,literacy_rate_youth_male_of_males_ages_1524,literacy_rate_youth_total_of_people_ages_1524,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,total_alcohol_consumption_per_capita_female_liters_of_pure_alco,total_alcohol_consumption_per_capita_male_liters_of_pure_alcoho,tuberculosis_death_rate_per_100000_people,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,capital_health_expenditure_of_gdp,cause_of_death_by_communicable_diseases_and_maternal_prenatal_a,cause_of_death_by_injury_of_total,cause_of_death_by_noncommunicable_diseases_of_total,children_014_living_with_hiv,children_ages_014_newly_infected_with_hiv,condom_use_population_ages_1524_female_of_females_ages_1524,condom_use_population_ages_1524_male_of_males_ages_1524,consumption_of_iodized_salt_of_households,contraceptive_prevalence_any_methods_of_women_ages_1549,contraceptive_prevalence_modern_methods_of_women_ages_1549,current_health_expenditure_of_gdp,demand_for_family_planning_satisfied_by_any_methods_of_married_,demand_for_family_planning_satisfied_by_modern_methods_of_marri,diabetes_prevalence_of_population_ages_20_to_79,exclusive_breastfeeding_of_children_under_6_months,external_health_expenditure_of_current_health_expenditure,external_health_expenditure_channeled_through_government_of_ext,external_health_expenditure_per_capita_ppp_current_internationa
Afghanistan,2011,AFG,17.01783943,45.417099,31.44885063,61.87907028,46.99005127,3243,6400,6919,5192,71996,32720,39276,11000,53977,39160,0,0,44,14.78100014,10.875,11.48799992,0.10517058,0,0,0,500,100,0,0,54.8,21.2,20.3,8.56190681,0,0,0,0,21.13860512,29.50369401,28.95322037
Afghanistan,2018,AFG,29.80521011,55.47544861,43.01971817,74.08480072,65.42054749,2030,12310,12990,2744,57394,25852,31542,0,44503,35934,0.055,0.36,29,13.90600014,10.2869997,11.05700016,0,0,0,0,500,200,0,0,0,0,0,9.39572716,0,0,0,57.5,16.44491768,48.59419465,30.65452385
Albania,2008,ALB,94.68180847,97.30619812,95.93863678,98.537117,98.83120728,84,152,179,76,510,205,305,7,298,183,0,0,0.53,13.75199986,12.54899979,13.06000042,0.32599965,0,0,0,0,0,0,0,0,0,0,5.139081,0,0,0,0,2.72849321,54.44400954,11.32504749
Albania,2018,ALB,97.76112366,98.51361847,98.14115143,99.05000305,99.33000183,38,77,94,32,289,124,165,0,243,137,2.68,11.63,0.29,11.22900009,13.12699986,12.34000015,0.16873735,0,0,0,0,0,0,0,64.6,46,3.7,5.26271439,75.2,6,0,36.5,1.34841347,72.70364138,9.40255356
Albania,2011,ALB,95.69148254,98.00816345,96.84529877,98.73136139,98.7911911,69,144,163,55,384,158,226,8,222,156,0,0,0.29,13.76200008,13.27400017,13.48099995,0.36221075,0,0,0,0,0,0,0,0,0,0,4.79532719,0,0,0,0,1.10563171,40.60481878,5.36877489
Algeria,2006,DZA,63.91878891,81.28404236,72.64868164,94.38147736,91.7796402,1576,2250,2921,1600,19542,8945,10597,890,14325,10860,0,0,8.6,16.05500031,11.58199978,12.27000046,0,0,0,0,200,100,0,0,0,61.4,53.9,3.35510325,0,74.65374,0,6.9,0.05226555,52.99112385,0.19955096
Algeria,2018,DZA,75.32296753,87.42295837,81.40783691,97.59406281,97.4265213,1153,1520,2148,1506,20875,9489,11386,0,16407,9768,0.25,1.63,7.6,21.05800056,9.925999641,11.88199997,0,0,0,0,1000,200,0,0,0,0,0,6.2184267,0,0,0,0,0.02695344,23.47612305,0.25948596
Angola,2014,AGO,53.4072113,79.97415161,66.03011322,84.86238098,77.43112946,5016,8408,10788,11148,69089,30617,38472,3000,36745,25392,0,0,61,7.718999863,6.941999912,7.330999851,0,0,0,0,29000,5400,0,0,0,0,0,2.43412876,0,0,0,0,3.1701467,41.93404709,5.55533123
Argentina,2010,ARG,98.92807007,98.98532104,98.95497131,99.0121994,99.29863739,985,2782,3353,816,9550,4184,5366,380,5689,3624,4.43,14.09,1.4,9.196000099,6.666999817,7.714000225,0.02510831,14.1,5.9,79.9,0,0,0,0,0,0,0,9.44546413,0,0,5.7,0,0.31598705,11.25978378,5.51450491
Armenia,2011,ARM,99.69035339,99.80608368,99.74440765,99.81842041,99.84739685,34,103,150,37,697,287,410,13,426,671,0,0,4.2,19.65200043,17.36599922,18.44300079,0.14788459,0,0,0,0,0,0,0,0,0,0,9.37588787,0,0,0,0,3.15005517,5.305610324,20.73258209
Armenia,2017,ARM,99.67716217,99.80549622,99.73606873,99.82128143,99.84702301,35,88,128,43,490,205,285,11,297,571,0,0,1.2,17.47100067,17.90600014,17.70499992,0.06770248,0,0,0,0,0,0,0,0,0,0,10.36270523,0,0,0,0,1.2871294,21.81352735,12.83246136
Azerbaijan,2010,AZE,99.69262695,99.85443878,99.77114105,99.967453,99.95059967,238,495,687,267,5215,2169,3046,51,3268,2093,0.99,5.07,8.9,6.925000191,4.400000095,5.630000114,0.42623338,10.9,4.7,84.3,200,100,0,0,0,0,0,2.48996663,0,0,7.5,0,1.48377061,75.04174342,5.88263178
Azerbaijan,2007,AZE,99.38394165,99.82096863,99.59319305,99.98931122,99.989151,304,516,669,319,5603,2337,3266,49,3445,2167,0,0,4.2,5.256000042,7.724999905,6.539999962,0.02679736,0,0,0,200,100,0,0,0,0,0,1.99021435,0,0,0,0,1.71862221,59.75489092,4.2810359
Azerbaijan,2015,AZE,99.7171402,99.86263275,99.78806305,99.96366882,99.94277954,191,403,631,247,4147,1728,2419,48,2533,1833,1.52,7.82,5.9,5.867000103,4.087999821,4.960000038,0.18573005,9.1,4.7,86.2,200,100,0,0,0,0,0,4.10663605,0,0,0,0,0.83127201,84.22918127,6.15247726
Bahrain,2010,BHR,89.01043701,92.14543915,90.97740173,95.68428802,95.45446777,16,34,69,20,142,68,74,4,62,123,0.49,2.33,0.79,3.703999996,0.442999989,1.129999995,0,7.2,10.9,81.8,0,0,0,0,0,0,0,3.84291482,0,0,15.4,0,0,0,0
Bangladesh,2007,BGD,43.74084854,49.8323288,46.66360092,54.27433014,61.87281036,14825,17051,16383,21406,144929,65746,79183,9600,104858,111577,0,0,54,6.59100008,3.022000074,3.888000011,0.21584882,0,0,0,0,0,0,0,0,55.8,47.5,2.38769174,76.9,65.4,0,42.9,8.19128704,0,4.37823772
Bangladesh,2015,BGD,62.25299072,68.05535889,65.1373291,86.18795013,87.88877106,8957,18700,16716,10133,91594,41781,49813,6000,67411,82980,0.006,0.036,42,7.467000008,3.161000013,4.377999783,0.1718373,27,7.6,65.4,0,0,0,0,68.3,0,0,2.46311474,0,0,0,0,8.0263319,0,7.3118844
Barbados,2014,BRB,99.59999847,99.59999847,99.59999847,99.91999817,99.90000153,5,10,15,2,41,18,23,1,30,25,0,0,0.9,12.65200043,11.69200039,12.17000008,0.12614655,0,0,0,0,0,0,0,0,0,0,6.99789667,0,0,0,0,2.24023581,94.56719158,26.43421555
Belarus,2009,BLR,99.49398804,99.76368713,99.6170578,99.80033112,99.82321167,100,396,904,92,481,203,278,6,210,287,0,0,9.5,4.629000187,7.547999859,6.099999905,0.68519956,0,0,0,200,100,0,0,0,0,0,5.39037848,0,0,0,0,0.26352641,8.917513005,2.08743048
Belarus,2018,BLR,99.72518158,99.79398346,99.75656128,99.83000183,99.84999847,64,135,256,70,288,123,165,0,146,232,5.38,18.71,2.8,3.553999901,5.920000076,4.760000229,0,0,0,0,500,100,0,0,0,0,0,5.64426613,0,0,0,0,0.28940114,73.00000001,3.27737951
Benin,2006,BEN,18.44290924,40.61616898,28.70211029,54.86693954,42.36270142,1927,1599,1670,4413,24629,11094,13535,1600,11895,8678,0,0,11,0.676999986,0.907999992,0.796000004,0.19562969,0,0,0,7700,1500,10.4,38.7,79.3,16.9,6.1,2.96771049,38.4,13.9,0,42.3,19.95596123,77.33605912,13.02379417
Benin,2012,BEN,22.0938797,44.96025848,32.94881821,63.94092178,52.49246979,2007,2067,2005,4341,25087,11174,13913,1700,12669,9108,0,0,10,2.884000063,2.443000078,2.660000086,0.31712511,0,0,0,7800,1100,19.2,40.2,89,12.9,7.9,3.41449833,28.4,17.4,0,32.5,36.23801041,60.18816186,31.98702621
Benin,2018,BEN,31.07164955,53.97703171,42.36240005,69.76117706,60.94807816,2078,2785,2389,4222,24718,10952,13766,0,12921,8728,1.14,4.53,8.8,2.566999912,2.210999966,2.385999918,0,0,0,0,6000,500,0,0,84.8,15.5,12.4,2.49141979,32.4,25.9,0,41.4,30.11024094,71.34975443,25.05546188
Bhutan,2005,BTN,38.68066025,65.0477829,52.81468964,80.04192352,74.4052124,71,124,106,110,648,292,356,45,389,213,0.57,2.51,20,3.329999924,2.926000118,3.099999905,0.91527122,0,0,0,0,0,0,0,0,0,0,4.01967382,0,0,0,0,19.01649094,41.28233766,29.33119392
Bolivia,2008,BOL,86.83174896,94.95542908,90.69811249,99.39022827,99.12249756,553,1269,1072,799,9181,4037,5144,590,5821,3271,0,0,17,3.395999908,2.000999928,2.602999926,0.49854699,0,0,0,1300,200,0,35.2,85.4,60.5,34.6,4.60677242,75.1,42.8,0,56.8,5.93362188,57.33782538,13.46495152
Bolivia,2007,BOL,85.98593903,96.03626251,90.74346924,99.7536087,99.44136047,565,1292,1090,828,9716,4276,5440,620,6062,3389,0,0,18,3.375,2.079999924,2.63499999,0.57667035,0,0,0,1400,200,0,0,0,0,0,4.6968894,0,0,0,0,4.57828236,60.58317055,9.95550632
Bolivia,2015,BOL,88.58286285,96.52275085,92.45507813,99.39402008,99.39916992,474,1129,1099,610,6204,2708,3496,420,4231,2525,2.19,7.12,12,3.796999931,2.563999891,3.065999985,0.97720146,23.1,13.2,63.8,1000,100,0,0,0,0,0,6.55064964,0,0,0,0,3.0737884,30.15201086,13.85808277
Botswana,2013,BWA,87.45121002,86.12213898,86.82318115,95.75475311,97.4562912,116,193,502,215,1603,710,893,92,847,918,0,0,18,21.35199928,14.72799969,17.92099953,0.16942081,0,0,0,0,0,0,0,0,0,0,6.22438812,0,0,0,0,8.8375845,16.40813308,89.71877289
Brazil,2007,BRA,90.22801208,89.7721405,90.0093689,97.05687714,97.80062866,5835,18614,27143,4670,60508,25857,34651,2200,39220,27103,0,0,3.1,11.13500023,6.250999928,8.326999664,0.78273278,0,0,0,0,0,0,0,98.4,0,77.1,8.20776176,0,89.03002,0,38.6,0.08170771,4.16872637,0.8422612
Brazil,2006,BRA,89.85559082,89.35324097,89.61522675,96.79699707,97.58229828,5864,18677,27158,4790,65301,27919,37382,2300,41966,27918,0,0,3.3,11.375,6.618000031,8.638999939,0.74296415,0,0,0,0,0,0,0,0,80.3,0,8.25891399,0,0,0,38.6,0.10612676,2.392419587,1.02077448
Brazil,2010,BRA,90.68170166,90.05618286,90.37918091,96.71617126,97.51412201,5702,19487,27487,4205,50136,21423,28713,1900,33515,25632,3.76,13.48,2.9,10.63599968,5.605999947,7.736000061,0.30888993,13.5,12.7,73.8,0,0,0,0,0,0,0,7.94913244,0,0,6.4,0,0.24594215,0.886853991,2.79827356
Brazil,2018,BRA,93.42507172,93.00904083,93.22750092,98.98358154,99.20417023,4368,19914,27398,2947,37438,16025,21413,0,23728,22369,3.26,11.82,2.4,14.22999954,10.86900043,12.33399963,0,0,0,0,0,0,0,0,0,0,0,9.51438713,0,0,0,0,0.08720671,95.43121113,1.33497977
Burundi,2008,BDI,43.15718842,53.12839127,48.08406067,66.61450958,61.7387886,2364,2280,2294,4053,22606,10026,12580,2600,10510,9770,0,0,25,1.144999981,2.165999889,1.633999944,0,0,0,0,19000,2100,0,0,0,0,0,9.23542786,0,0,0,0,29.37302208,64.3049436,18.71097755
Cambodia,2008,KHM,69.58641052,84.98745728,76.87129211,89.38368225,87.47138214,1051,1704,2234,1935,15455,6655,8800,1000,8440,6645,0,0,27,0.824000001,0.824999988,0.824000001,1.15727389,0,0,0,6400,1000,0,0,0,0,0,6.60109425,0,0,0,65.9,16.24375343,0,25.26154137
Cambodia,2015,KHM,75.03386688,86.53244019,80.52648926,91.86412048,92.21235657,613,1254,1643,1211,9939,4276,5663,650,6199,5120,2.63,10.46,21,0.456999987,0.333999991,0.393000007,0.11671314,26.7,10.1,63.2,4300,200,0,0,0,0,0,6.19431591,0,0,0,0,20.35761261,9.14224238,44.30983353
Cameroon,2007,CMR,63.02206039,78.9499588,70.67993927,89.41732025,83.13556671,4519,5511,7150,9963,55439,24679,30760,4800,24431,17081,0,0,40,3.507999897,2.644999981,3.062999964,0,0,0,0,49000,9900,0,0,0,0,0,3.9596808,0,0,0,0,5.17546701,64.67627302,5.51655817
Cameroon,2010,CMR,64.79949951,78.32769012,71.29051208,85.3974762,80.57444,4710,5698,7549,10324,54180,24042,30138,4800,25004,17831,3.53,13.39,42,4.899000168,3.413000107,4.110000134,0.34300983,59.8,9.7,30.6,49000,6800,0,0,0,0,0,3.75899553,0,0,3.9,0,8.26022339,73.03068267,8.74860477
Chad,2015,TCD,13.93340969,38.91820145,26.00299072,51.8362999,38.77241898,4336,5477,5272,7764,45941,20574,25367,7100,21959,18009,0.53,2.39,23,1.56099999,2.058000088,1.832999945,0,63.7,9.7,26.7,16000,2000,0,0,76.5,5.7,5,4.52395248,19.8,17.6,0,0.1,17.01005936,41.79912181,16.86623383
Chad,2016,TCD,13.95522976,31.32879066,22.31155014,40.69289017,30.79161072,4403,5536,5429,7738,45818,20516,25302,7200,22047,18177,0,0,25,1.582000017,2.084000111,1.855999947,0,63.4,9.3,27.3,16000,2000,0,0,0,0,0,4.90541553,0,0,0,0,22.31062508,56.20351517,22.26132202
Chile,2010,CHL,96.64920807,96.99424744,96.81860352,98.61216736,98.84011841,290,714,1006,240,1845,825,1020,51,1324,922,4.49,14.3,3.3,9.909000397,7.44299984,8.423999786,0.26413688,8.1,8.4,83.6,500,100,0,0,0,0,0,6.77489328,0,0,5.7,0,0.01022053,0,0.12575781
Chile,2015,CHL,96.74395752,97.02468872,96.87413025,99.26753998,99.35394287,206,594,901,168,1636,731,905,34,1230,776,4.49,14.2,2.6,7.137000084,6.06400013,6.507999897,0.32091042,7.5,7.5,85,500,100,0,0,0,0,0,8.30269146,0,0,0,0,0.00141932,0,0.02673602
China,2010,CHN,92.71122742,97.47946167,95.1244812,99.68962097,99.64228821,21719,37008,73424,22236,236400,101016,135384,6200,147011,179677,2.95,11.04,3.9,3.923000097,5.001999855,4.526000023,0.41226813,5,8,87,0,0,0,0,96.4,89.1,0,4.2079916,0,0,4.2,0,0.12173963,0,0.46418557
Colombia,2005,COL,92.91124725,92.77794647,92.84866333,97.51702881,97.95839691,1511,4679,7630,1250,15118,6489,8629,680,9614,7390,2.23,8.77,3.3,15.86299992,9.085000038,11.86999989,0.34671679,0,0,0,0,0,23.5,0,0,78.2,68.2,6.06709814,90.1,78.5,0,46.8,0.94975668,1.132615297,4.80900717
Colombia,2010,COL,93.48679352,93.25019073,93.37232971,97.68271637,98.09841919,1327,4688,6647,1067,11990,5155,6835,640,7600,6455,2.08,8.16,2.8,14.18900013,8.635000229,10.98400021,0.61439013,10.7,18.7,70.6,0,0,30.7,0,0,79.1,72.9,7.07130146,90.8,83.8,5.2,0,0.0627301,5.262304521,0.47685158
Colombia,2014,COL,94.48465729,93.86740112,94.18624878,98.10671234,98.54094696,1204,4143,6051,902,10311,4432,5879,630,6533,5849,0,0,2.9,11.02799988,6.71600008,8.57199955,0.86036724,0,0,0,0,0,0,0,0,0,0,7.18553209,0,0,0,0,0,0,0
Cuba,2012,CUB,99.79988098,99.70606232,99.75253296,99.85527039,99.87464905,148,284,441,115,572,247,325,49,332,818,0,0,0.37,3.612999916,3.362999916,3.460000038,0.09844659,0,0,0,100,100,0,0,0,0,0,9.29940987,0,0,0,0,0.16542237,2.641780605,3.1234448
Cyprus,2011,CYP,98.1162262,99.28614807,98.67842865,99.80454254,99.82099152,9,29,51,10,35,16,19,1,24,38,0,0,0.4,7.624000072,8.048000336,7.855999947,0.27544817,0,0,0,0,0,0,0,0,0,0,6.44928503,0,0,0,0,0.95644379,64.04488789,20.82135582
Ecuador,2010,ECU,90.47010803,93.31687164,91.85404205,98.46887207,98.65270996,713,1398,1976,597,5024,2132,2892,250,2978,3615,2.94,9.44,4.9,4.968999863,3.53399992,4.087999821,0.42198119,17.1,16.3,66.6,1000,200,0,0,0,0,0,7.12195635,0,0,5.9,0,0.7180028,15.65342298,4.66066933
Ecuador,2016,ECU,93.31452942,95.44502258,94.35022736,98.97920227,99.05711365,625,1291,1979,491,4223,1801,2422,200,2562,3126,0,0,3.5,5.848999977,3.726000071,4.597000122,0.26284295,15.1,12.8,72.2,1000,200,0,0,0,0,0,8.29596043,0,0,0,0,0.3659313,75.82887953,3.40675497
Eritrea,2018,ERI,68.94618988,84.37323761,76.57051849,93.81867981,93.27239227,356,591,785,392,3288,1367,1921,0,1912,1978,0.5,2.39,16,4.922999859,5.257999897,5.104000092,0,0,0,0,1300,200,0,0,0,0,0,4.09255791,0,0,0,0,35.78637695,83.33072945,26.37631607
Estonia,2011,EST,99.90947723,99.85897827,99.88578796,99.9392395,99.94889832,10,34,87,11,49,22,27,2,29,43,0,0,3.5,11.57699966,13.05700016,12.32800007,0,0,0,0,0,0,0,0,0,0,0,5.76757813,0,0,0,0,1.43225133,79.13669065,20.43354034
Ethiopia,2005,ETH,17.97719955,41.9366188,29.8203392,55.88473892,44.60596848,21030,26329,24711,48510,205618,87999,117619,26000,130931,105601,0.72,3.41,64,3.282000065,1.828999996,2.496999979,0,0,0,0,120000,13000,1.8,17.6,54.3,14.7,13.9,4.10098124,29,27.4,0,48.8,22.23903656,18.45434211,5.98420286
Ethiopia,2017,ETH,44.42338181,59.24145889,51.7711792,73.52072144,72.75482178,13980,21358,19061,18977,136042,57444,78598,14000,103170,92055,0,0,25,2.811000109,1.523000002,2.119999886,0.33927107,0,0,0,51000,3900,0,0,0,36.55550261,35.32117512,3.50331593,0,59.76633,0,0,35.35738754,55.87269182,23.16876411
Fiji,2017,FJI,99.08583069,99.07843781,99.08210754,99.67990875,99.74433899,44,57,94,38,404,178,226,6,200,164,0,0,4.2,5.552999973,3.592999935,4.236999989,0.3093538,0,0,0,0,0,0,0,0,0,0,3.18689561,0,0,0,0,2.32538366,33.65853659,7.6549263
Gabon,2018,GAB,83.42397308,85.85234833,84.66716003,88.14196014,89.78366089,307,270,301,291,2129,925,1204,0,1382,945,3.97,13.17,77,28.10099983,14.27700043,19.80699921,0.35308722,0,0,0,2900,500,0,0,0,0,0,2.74503946,0,0,0,0,1.22247517,9.115055694,6.00036764
Georgia,2014,GEO,99.51457977,99.66821289,99.58618927,99.67771912,99.7026062,59,129,233,61,556,234,322,17,418,405,0,0,4.6,14.44499969,19.89100075,17.43799973,0.3274962,0,0,0,0,0,0,0,0,0,0,8.43881893,0,0,0,0,2.47967482,22.95081967,17.52185822
Ghana,2010,GHA,65.29469299,78.34890747,71.49707031,88.31075287,85.71614838,3378,4692,4623,5302,37122,16104,21018,2700,23883,20687,1.8,6.86,40,5.80700016,4.881000042,5.320000172,0,54.4,8.6,37,34000,4500,0,0,0,0,0,4.69206762,0,0,4.3,0,8.65724468,93.78350467,16.10952568
Ghana,2018,GHA,74.47438812,83.52458191,79.03964233,92.76100159,92.4909668,3240,4650,4299,4651,30324,13112,17212,0,20788,19697,1.17,4.4,36,4.251999855,4.073999882,4.157000065,0,0,0,0,27000,3100,0,0,0,0,0,3.53888083,0,0,0,0,12.43914032,47.82367444,20.89520836
Greece,2005,GRC,90.76541138,95.45005798,93.04431152,99.53356171,99.52918243,75,272,558,67,444,199,245,3,280,372,4.94,16.69,0.87,15.50699997,6.252999783,9.994000435,0.36488235,0,0,0,0,0,0,0,0,0,0,8.56466961,0,0,0,0,0,0,0
Greece,2018,GRC,97.39409637,98.50704956,97.93595123,99.26000214,99.16000366,51,126,203,44,291,129,162,0,196,261,4.46,16.17,0.46,24.29000092,15.40699959,19.29199982,0,0,0,0,0,0,0,0,0,0,0,7.71544075,0,0,0,0,0.1363593,0,3.19098973
Grenada,2014,GRD,98.59999847,98.58000183,98.59999847,98.94999695,99.19999695,3,5,7,3,26,12,14,0,19,19,0,0,1.4,0,0,0,0.15559874,0,0,0,0,0,0,0,0,0,0,4.77353573,0,0,0,0,0.35380876,17.11998407,2.09828734
Guatemala,2012,GTM,72.42803955,84.84873199,78.26486206,95.46640778,93.6534729,867,2239,2770,790,10761,4654,6107,480,6284,6245,0,0,1.7,3.453000069,2.371999979,2.765000105,0.16044214,0,0,0,1800,200,0,0,0,0,0,6.01474953,0,0,0,0,4.01598883,51.31440644,16.98478699
Guinea,2010,GIN,12.19194984,36.78979111,25.30773926,37.56715012,31.40641975,2178,3771,3600,5002,29681,13321,16360,3000,14072,11147,0.21,1.19,30,3.530999899,5.617000103,4.486999989,0,59.5,8.6,31.9,12000,1900,0,0,0,0,0,3.42332411,0,0,4.3,0,19.42542267,83.70176722,10.86808681
Guinea,2014,GIN,21.96224976,43.64009094,32.0038414,56.97050858,46.29505157,2132,3932,4074,4869,29202,13088,16114,3300,13814,11252,0,0,26,3.484999895,5.638999939,4.467999935,0.26637852,0,0,0,11000,1000,0,0,0,0,0,4.78097677,0,0,0,0,18.49852562,91.0339804,17.18834877
Guyana,2009,GUY,87.25198364,82.43656158,84.99401093,92.42121124,93.09893799,48,93,115,35,494,209,285,30,366,265,0,0,11,14.51900005,9.475999832,11.22999954,0.67856395,0,0,0,500,100,32.1,62.3,19.7,42.5,40,5.70194817,59.9,56.3,0,31.3,20.73952675,10.84645725,63.08438492
Andorra,2005,AND,0,0,0,0,0,1,2,3,1,4,2,2,0,2,2,6.2,19.18,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5754261,0,0,0,0,0,0,0
Guyana,2014,GUY,85.03460693,86.31437683,85.63973236,96.3318634,96.68966675,46,107,164,31,444,188,256,28,332,242,0,0,11,15.28899956,9.927000046,11.93700027,0.31214136,0,0,0,500,100,49.3,77,42.8,33.9,32.5,5.31300068,0,52.45335,0,21.1,5.96169329,1.261552053,23.12999153
Haiti,2006,HTI,44.59944916,53.35504913,48.68502045,74.36740875,72.34671783,1458,2042,2946,2355,17274,7599,9675,1300,8035,6399,0,0,12,17.70100021,13.65299988,15.5710001,0.3725588,0,0,0,14000,2000,20.1,41.2,10.1,32,24.8,5.5010376,46.2,35.8,0,40.5,45.22234726,32.42677988,35.26634598
Haiti,2016,HTI,58.30052185,65.27764893,61.69134903,83.35350037,82.99424744,1164,1665,2548,1731,14050,6160,7890,1300,7278,5721,0,0,9.8,16.95299911,11.12100029,13.88099957,0.29240856,30.3,12.6,57.1,9500,1000,0,0,0,0,0,8.43686771,0,0,0,0,49.43203735,2.29983301,74.53376007
Honduras,2010,HND,84.72502899,84.78900909,84.75536346,94.44801331,95.15068817,532,867,1148,520,4125,1777,2348,150,2654,2112,1.45,5.81,4.4,5.44299984,3.401000023,4.118999958,0,18.7,21.3,60,1200,100,0,0,0,0,0,8.72536373,0,0,9.1,0,7.53666019,63.46197259,25.20285797
Honduras,2015,HND,87.89369965,87.92208099,87.90682983,94.99324799,96.00750732,561,882,1168,452,3364,1451,1913,140,2153,1873,1.4,5.64,3.7,8.960000038,4.512000084,6.146999836,0.20490398,14.6,20,65.3,1000,100,0,0,0,0,0,7.48378992,0,0,0,0,5.02577019,75.14885414,17.06121826
Honduras,2018,HND,87.26555634,87.13764191,87.20523834,94.89199066,96.51583862,532,851,1200,397,3082,1328,1754,0,1965,1808,1.5,6.07,4.4,7.241000175,4.665999889,5.647999763,0.08259878,0,0,0,1000,100,0,0,0,0,0,7.04958153,0,0,0,0,3.03528953,71.51405302,10.99565506
Hungary,2014,HUN,99.09999847,99.16000366,99.09999847,98.69000244,98.80000305,63,156,254,48,409,184,225,11,262,354,0,0,0.89,7.913000107,7.565999985,7.724999905,0.27320004,0,0,0,0,0,0,0,0,0,0,7.07047558,0,0,0,0,0,0,0
India,2006,IND,50.82376099,75.19190216,62.75447083,88.41184235,81.13085938,114237,174637,219623,166174,1464857,705879,758978,74000,1012132,699284,0,0,47,5.473999977,5.441999912,5.449999809,0.18146035,0,0,0,0,0,5.6,14.6,75.4,56.3,48.5,3.63477802,80.2,69.1,0,46.4,1.43511701,84.2655007,1.7542392
India,2011,IND,59.27732086,78.87722778,69.3025589,90.04483032,86.1448822,95392,145755,193064,120871,1101188,533058,568130,50000,786477,504042,0,0,39,5.598999977,5.649000168,5.638000011,0.19404872,0,0,0,0,0,0,0,0,0,0,3.24634194,0,0,0,0,0.8697859,76.76403535,1.30580235
Indonesia,2006,IDN,88.78697968,95.15853882,91.98226929,97.02747345,96.65103912,13034,26081,24562,21618,159330,69521,89809,12000,95731,65867,0,0,50,9.289999962,6.587999821,7.551000118,0.78216326,0,0,0,0,0,0,0,0,57.9,56.5,2.67202187,0,0,0,0,1.33284557,22.92924761,2.53096128
Indonesia,2015,IDN,93.33570862,97.10652161,95.21793365,99.70175934,99.67006683,10353,24045,23635,16510,115140,49796,65344,9500,71869,51944,0.18,1.03,37,4.429999828,4.565999985,4.513999939,0.20291354,21.5,6,72.5,0,0,0,0,0,61.5,60.7,2.99113512,0,78.33223,0,0,0.41249841,45.47963055,1.36500335
Iraq,2012,IRQ,69,85.90000153,77.19999695,87.30000305,83.5,2400,4133,4510,2684,28084,12271,15813,700,19850,14903,0,0,3.1,12.48600006,7.22300005,7.965000153,0,0,0,0,0,0,0,0,0,0,0,2.69039416,0,0,0,0,0.73819375,8.98989899,3.04277754
Iraq,2013,IRQ,63.40000153,81.40000153,72.69999695,82.40000153,80.80000305,3536,5572,6452,3566,27734,12097,15637,800,19676,14859,0,0,2.9,16.85899925,7.962999821,9.277999878,0,0,0,0,0,0,0,0,0,0,0,2.81939769,0,0,0,0,0.73205227,1.379566827,3.32988167
Iraq,2014,IRQ,74.59999847,90,82.19999695,91.90000153,88.80000305,5723,8288,10193,5305,27287,11889,15398,1000,19401,14605,0,0,2.8,22.03800011,8.486000061,10.59000015,0,0,0,0,0,0,0,0,0,0,0,2.79654908,0,0,0,0,0.73442364,1.945047514,3.27596974
Italy,2011,ITA,98.57956696,99.14100647,98.84828186,99.85102844,99.85964203,275,767,1154,227,1816,806,1010,11,1294,1320,0,0,0.65,9.545000076,7.519000053,8.359000206,0,0,0,0,200,100,0,0,0,0,0,8.77413177,0,0,0,0,0,0,0
Italy,2018,ITA,98.9719162,99.35344696,99.15576172,99.91999817,99.93000031,272,614,925,207,1274,566,708,0,903,1109,3.52,12.46,0.53,11.77499962,9.746999741,10.60999966,0,0,0,0,500,100,0,0,0,0,0,8.66763401,0,0,0,0,0,0,0
Jamaica,2014,JAM,92.69999695,83.44000244,88.09999847,93.86000061,96.30000305,83,217,315,64,672,287,385,38,561,694,0,0,0.26,18.15800095,10.10400009,13.73999977,0.14380503,0,0,0,1000,100,0,0,0,0,0,5.16615725,0,0,0,0,1.41637087,68.53106206,6.20041323
Jordan,2007,JOR,88.90331268,95.49455261,92.19957733,98.95204163,98.94934082,230,314,365,293,3542,1563,1979,110,2510,2033,0,0,0.7,25.85099983,10.40100002,13.10000038,0,0,0,0,0,0,6.4,0,0,57.1,41.9,8.30104733,80.5,59.1,0,21.8,3.27706075,51.51515152,24.10020256
Jordan,2010,JOR,89.20774078,95.76724243,92.55104065,98.75872803,98.76235199,238,346,381,301,3576,1576,2000,110,2513,2117,0.17,1.09,0.5,21.84300041,10.46800041,12.5,0,13.3,11.1,75.5,0,0,0,0,0,0,0,8.38929749,0,0,10.1,0,4.51080036,57.74647887,34.73101807
