country_name,year,country_code,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,literacy_rate_youth_male_of_males_ages_1524,literacy_rate_youth_total_of_people_ages_1524,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,total_alcohol_consumption_per_capita_female_liters_of_pure_alco,total_alcohol_consumption_per_capita_male_liters_of_pure_alcoho,tuberculosis_death_rate_per_100000_people,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,capital_health_expenditure_of_gdp,cause_of_death_by_communicable_diseases_and_maternal_prenatal_a,cause_of_death_by_injury_of_total,cause_of_death_by_noncommunicable_diseases_of_total,children_014_living_with_hiv,children_ages_014_newly_infected_with_hiv,condom_use_population_ages_1524_female_of_females_ages_1524,condom_use_population_ages_1524_male_of_males_ages_1524,consumption_of_iodized_salt_of_households,contraceptive_prevalence_any_methods_of_women_ages_1549,contraceptive_prevalence_modern_methods_of_women_ages_1549,current_health_expenditure_of_gdp,demand_for_family_planning_satisfied_by_any_methods_of_married_,demand_for_family_planning_satisfied_by_modern_methods_of_marri,diabetes_prevalence_of_population_ages_20_to_79,exclusive_breastfeeding_of_children_under_6_months,external_health_expenditure_of_current_health_expenditure,external_health_expenditure_channeled_through_government_of_ext,external_health_expenditure_per_capita_ppp_current_internationa
Kenya,2015,KEN,0,0,0,0,0,5784,7634,9245,8209,51600,22861,28739,5200,33339,29221,1.07,4.53,64,2.996000051,2.602999926,2.79399991,0,65.2,9.4,25.4,150000,9200,0,0,0,66.3,62.6,5.21938848,0,76.60001,0,0,17.92063332,33.40325166,27.94887733
Kiribati,2018,KIR,0,0,0,0,0,10,15,20,16,133,58,75,0,73,48,0.16,0.77,37,0,0,0,0.18147698,0,0,0,0,0,0,0,0,0,0,12.11170006,0,0,0,0,23.50359154,43.67980895,65.30118561
Latvia,2015,LVA,0,0,0,0,0,16,43,93,19,88,40,48,5,54,77,6.02,20.73,4.8,8.637000084,11.0880003,9.873000145,0,2.5,5.8,91.7,0,0,0,0,0,0,0,5.68592453,0,0,0,0,0,0,0
Lebanon,2005,LBN,0,0,0,0,0,148,276,301,146,913,425,488,18,621,697,0.69,3.84,0.78,9.737000465,7.887000084,8.288000107,0.02654022,0,0,0,0,0,0,0,0,0,0,7.55121279,0,0,0,0,0.47340345,0,3.34840322
Lesotho,2005,LSO,0,0,0,0,0,234,701,1354,326,4664,2071,2593,420,2314,2067,1.9,9.28,91,37.04700089,25.04500008,30.7840004,0,0,0,0,21000,4600,0,0,92.4,0,0,5.06624413,0,51.5217,0,36.4,11.85069275,63.22317045,9.77798271
Lesotho,2010,LSO,0,0,0,0,0,190,577,1156,286,4250,1889,2361,350,2358,1824,2.28,11.2,64,32.23300171,22.13400078,26.81399918,3.02830076,59.3,8.3,32.4,21000,2500,0,0,0,0,0,7.61773348,0,64.9,3.9,0,17.69318199,83.05044754,33.21833038
Lesotho,2017,LSO,0,0,0,0,0,164,469,762,236,4031,1793,2238,310,2479,1659,0,0,46,27.77700043,21.11800003,24.13400078,0.22789322,0,0,0,14000,1100,0,0,0,0,0,8.94750309,0,0,0,0,20.4370594,26.38691749,57.97961426
Lesotho,2016,LSO,0,0,0,0,0,170,480,791,242,4084,1817,2267,320,2492,1682,0,0,47,28.47800064,20.84199905,24.29999924,0.11098389,59.3,8.3,32.3,15000,1100,0,0,0,0,0,8.01058197,0,0,0,0,17.63062286,32.38947176,44.79776764
Lithuania,2005,LTU,0,0,0,0,0,61,218,341,45,221,97,124,4,129,129,7.98,25.84,11,8.534999847,8.121999741,8.324999809,0.18310331,0,0,0,0,0,0,0,0,0,0,5.64197302,0,0,0,0,0.08312792,78.07155287,0.67464316
Luxembourg,2013,LUX,0,0,0,0,0,2,7,10,1,14,6,8,0,9,22,0,0,0.19,6.387000084,5.421999931,5.84800005,0,0,0,0,0,0,0,0,0,0,0,5.52774715,0,0,0,0,1.4627763,0,78.20288849
